n,m,lb,ub,training,jobs,LPT,RL,time,once,five times,bound,fixed bound ,Error from LPT,Error RL from bound,Error LPT from bound ,Mean error from LPT,Error RL from bound,Error LPT from bound 
9,3,1,20,4000,"{3,10,12,13,15,15,17,17,20}",44,42,38.14610529,0,5.479452055,25,32,4.545454545,23.80952381,27.27272727,,,
9,3,1,20,4000,"{2,4,8,12,14,19,20,20,20}",40,40,9.202477694,0,0,20,39,0,2.5,2.5,,,
9,3,1,20,4000,"{1,2,3,4,9,14,18,19,19}",32,32,23.6865921,3.68852459,19.67213115,10,32,0,0,0,,,
9,3,1,20,4000,"{1,3,8,13,15,17,17,20,20}",41,38,21.35784984,0,13.19648094,21,34,7.317073171,10.52631579,17.07317073,,,
9,3,1,20,4000,"{3,3,4,11,14,14,15,17,19}",34,34,19.1896081,0,8.558558559,15,29,0,14.70588235,14.70588235,,,
9,3,1,20,4000,"{1,3,4,7,9,11,12,18,19}",29,28,17.70722055,0.789473684,13.15789474,11,23,3.448275862,17.85714286,20.68965517,,,
9,3,1,20,4000,"{6,7,9,11,13,15,16,18,19}",39,38,19.74671412,2.359346642,21.9600726,20,31,2.564102564,18.42105263,20.51282051,,,
9,3,1,20,4000,"{1,8,11,13,13,15,18,19,20}",43,42,20.05785775,1.736111111,13.19444444,24,33,2.325581395,21.42857143,23.25581395,,,
9,3,1,20,4000,"{2,5,7,8,10,16,18,20,20}",36,36,24.25637126,0,13.42756184,15,34,0,5.555555556,5.555555556,,,
9,3,1,20,4000,"{1,9,10,11,12,17,19,19,20}",41,40,26.73412228,0,5.084745763,21,36,2.43902439,10,12.19512195,,,
9,3,1,20,4000,"{7,10,11,14,14,14,16,19,20}",43,43,17.72469473,0,3.623188406,25,30,0,30.23255814,30.23255814,,,
9,3,1,20,4000,"{3,4,6,8,8,8,11,19,20}",30,30,18.46386743,1.162790698,5.813953488,14,20,0,33.33333333,33.33333333,,,
